ID,Name,Tribe_or_Dialect,Modern_Designation,Comment,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Tshinook-Tshinook,Tshinook,Tshinook,Chinook,Inhabiting the vicinity of the mouth of the Columbia River. Vocabulary obtained from a Songis woman who had long been as a slave with the Tshinook.,kath1253,Kathlamet,,North America,46.279,-123.772,Chinookan
Tshinook-Tilhilooit-UpperTshinook,Tshinook,"Tshinook, Tilhilooit","Upper Chinook, Tlakluit","Inhabiting Dalles of Columbia River, right bank. Vocabulary obtained from an Indian of the tribe. Name not noted.",wasc1239,Upper Chinook,wac,North America,45.5838,-121.2008,Chinookan
Bilhoola-Noothlakimish,Bilhoola,Noothlākimish,Bella Coola,Inhabiting Bentinck Arm. Vocabulary obtained in winter of 1875-76 at Victoria from Indian named Ya-kowd-las. This language is extremely guttural and very difficult to render.,bell1243,Bella Coola,blc,North America,52.4188,-127.2684,Salishan
Tinne-Tshilkotin,Tinnē,Tshilkotin,Chilcotin,Inhabiting the Chilcotin River valley and its vicinity. Vocabulary obtained on the spot in 1875 from Indians of the tribe. Tshilkotin is probably the name of one of the more important septs of these people.,chil1280,Chilcotin,clc,North America,51.8725,-122.8855,Athabaskan-Eyak-Tlingit
Tinne-Nakoontloon,Tinnē,Nakoontloon,,"Inhabiting country about Nakoontloon Lake, near the borders of the Tshilkotin and Takulli, and a sept of the former. They meet the Bilhoola westward on the Bella Coola River of maps. Vocabulary obtained in the winter of 1875-76 at Victoria from Indian named Ne-shoan. This man had been long with the Bilhoola and appeared to have forgotten some words of his own language for which he substituted phrases.",,,,North America,,,Athabaskan-Eyak-Tlingit
Tinne-Takulli-Teheili,Tinnē,"Takulli, Teheili",Carrier,"Inhabiting almost the entire country about the head waters of the Fraser. Vocabulary obtained in 1875 from Indians near the Blackwater River and about Fort George. The names Takulli, Teheili, or Carrier, are applied to these Indians, but I am not aware if these are recognized by themselves though the people are undoubtedly, more or less distinctly separated linguistically from the neighbouring branches of the Tinnē.",carr1249,Carrier,crx,North America,49.3466,-121.4731,Athabaskan-Eyak-Tlingit
Selish-Lillooet,Selish,Lillooet,,"Inhabiting Lillooet and vicinity, Fraser River. Vocabulary obtained from an Indian of the tribe, name not noted, but an exceptionally intelligent man.",lill1248,Lillooet,lil,North America,50.6849,-121.9177,Salishan
Selish-Kullespelm,Selish,Kullespelm,Kalispel,"Inhabiting Pend D’Oreille Lake and river. Vocabulary obtained in winter of 1875-76 at Victoria from an Indian named Sin-ke-oosi or Stanislaus of the Kullespelm tribe on the mother’s side, and brought up among these people.",kali1308,Kalispel-Pend d'Oreille,fla,North America,49.0194,-117.4528,Salishan
Shahaptani-Whulwhaipum,Shahaptani,Whulwhaipum,Klikitat,"Inhabit White Salmon River Mountains and right bank of the Columbia from the Cascades to Fort Vancouver. Vocabulary obtained from Was-lai-ahi, a chief man of the tribe.",klik1240,Klikitat,,North America,46.1427,-121.6173,Sahaptian
Kootenuha-UpperKootenuha,Kootenuha,Kootenuha,Kutenai,"Inhabiting the country about the head-waters of the Kootanie and Columbia Rivers. Vocabulary obtained from Indian known as Joe at Josephs Prairie in 1883. This language is an extremely guttural one, and difficult to render.",kute1249,Kutenai,kut,North America,47.5422,-116.9385,
